,timestamp,server,stratum,delta,poll-freq,id,mac-addr
482,1548782120.9107358,10.10.13.130,2,22,8,w4,
483,1548782125.920005,10.10.13.130,2,22,8,w4,
484,1548782130.9322731,10.10.13.130,2,22,8,w4,
485,1548782135.944776,10.10.13.130,2,22,8,w4,
486,1548782140.958052,10.10.13.130,2,16,8,w4,
487,1548782145.970771,10.10.13.130,2,17,8,w4,
488,1548782150.979455,10.10.13.130,2,17,8,w4,
489,1548782155.992017,10.10.13.130,2,17,8,w4,
490,1548782161.0047462,10.10.13.130,2,17,8,w4,
491,1548782166.017153,10.10.13.130,2,17,8,w4,
492,1548782171.029063,10.10.13.130,2,17,8,w4,
493,1548782176.039817,10.10.13.130,2,17,8,w4,
494,1548782181.052183,10.10.13.130,2,17,8,w4,
495,1548782186.064975,10.10.13.130,2,17,8,w4,
496,1548782191.078034,10.10.13.130,2,17,8,w4,
497,1548782196.090599,10.10.13.130,2,22,8,w4,
498,1548782201.1032472,10.10.13.130,2,22,8,w4,
499,1548782206.1158788,10.10.13.130,2,19,8,w4,
500,1548781985.334359,10.10.13.130,2,13,8,w4,
501,1548781990.346446,10.10.13.130,2,13,8,w4,
502,1548781995.359518,10.10.13.130,2,13,8,w4,
503,1548782000.371833,10.10.13.130,2,13,8,w4,
504,1548782005.384283,10.10.13.130,2,14,8,w4,
505,1548782010.397113,10.10.13.130,2,14,8,w4,
506,1548782015.40942,10.10.13.130,2,14,8,w4,
507,1548782020.422055,10.10.13.130,2,14,8,w4,
508,1548782025.434684,10.10.13.130,2,14,8,w4,
509,1548782030.4435449,10.10.13.130,2,14,8,w4,
510,1548782035.4564278,10.10.13.130,2,11,8,w4,
511,1548782040.468662,10.10.13.130,2,11,8,w4,
512,1548782045.48101,10.10.13.130,2,13,8,w4,
513,1548782050.4939551,10.10.13.130,2,23,8,w4,
514,1548782055.5070002,10.10.13.130,2,24,8,w4,
515,1548782060.519466,10.10.13.130,2,24,8,w4,
516,1548782065.531876,10.10.13.130,2,24,8,w4,
517,1548782070.5448961,10.10.13.130,2,18,8,w4,
518,1548782075.5558288,10.10.13.130,2,21,8,w4,
519,1548782080.569259,10.10.13.130,2,21,8,w4,
520,1548782085.582215,10.10.13.130,2,21,8,w4,
521,1548782090.595556,10.10.13.130,2,21,8,w4,
522,1548781878.159471,10.10.13.130,2,38,8,w4,
523,1548781883.1730301,10.10.13.130,2,38,8,w4,
524,1548781888.1857939,10.10.13.130,2,38,8,w4,
525,1548781893.195344,10.10.13.130,2,38,8,w4,
526,1548781898.208532,10.10.13.130,2,38,8,w4,
527,1548781903.22136,10.10.13.130,2,38,8,w4,
528,1548781908.23469,10.10.13.130,2,38,8,w4,
529,1548781913.247055,10.10.13.130,2,38,8,w4,
530,1548781918.259402,10.10.13.130,2,38,8,w4,
531,1548781923.271959,10.10.13.130,2,38,8,w4,
532,1548781928.2846198,10.10.13.130,2,38,8,w4,
533,1548781933.2972279,10.10.13.130,2,38,8,w4,
534,1548781938.3077939,10.10.13.130,2,18,8,w4,
535,1548781943.319973,10.10.13.130,2,18,8,w4,
536,1548781948.331595,10.10.13.130,2,18,8,w4,
537,1548781953.341635,10.10.13.130,2,18,8,w4,
538,1548781958.353841,10.10.13.130,2,18,8,w4,
539,1548781963.366209,10.10.13.130,2,18,8,w4,
540,1548781968.378654,10.10.13.130,2,18,8,w4,
541,1548781973.390742,10.10.13.130,2,13,8,w4,
542,1548781978.4034472,10.10.13.130,2,13,8,w4,
543,1548781983.415958,10.10.13.130,2,13,8,w4,
544,1548781793.844335,10.10.13.130,2,31,8,w4,
545,1548781798.857091,10.10.13.130,2,31,8,w4,
546,1548781803.869386,10.10.13.130,2,31,8,w4,
547,1548781808.881985,10.10.13.130,2,31,8,w4,
548,1548781813.894535,10.10.13.130,2,31,8,w4,
549,1548781818.906854,10.10.13.130,2,31,8,w4,
550,1548781823.917593,10.10.13.130,2,31,8,w4,
551,1548781828.927381,10.10.13.130,2,31,8,w4,
552,1548781833.9398699,10.10.13.130,2,31,8,w4,
553,1548781838.9519439,10.10.13.130,2,31,8,w4,
