,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
92,m1,6000000.0,1430000.0,10.10.15.248,46612,1548782372.0,1548782370.0,22.221,1341.0,1524.0,udp,10.10.12.1,5204
93,m1,4330000.0,1030000.0,10.10.15.248,46612,1548782374.0,1548782372.0,11.355,720.0,852.0,udp,10.10.12.1,5204
94,m1,1900000.0,464000.0,10.10.15.248,46612,1548782376.0,1548782374.0,18.196,2312.0,2370.0,udp,10.10.12.1,5204
95,m1,1020000.0,248000.0,10.10.15.248,46612,1548782378.0,1548782376.0,22.138,445.0,476.0,udp,10.10.12.1,5204
96,m1,918000.0,224000.0,10.10.15.248,46612,1548782380.0,1548782378.0,43.959,1950.0,1978.0,udp,10.10.12.1,5204
97,m1,885000.0,216000.0,10.10.15.248,46612,1548782382.0,1548782380.0,45.878,821.0,848.0,udp,10.10.12.1,5204
98,m1,2000000.0,488000.0,10.10.15.248,46612,1548782384.0,1548782382.0,28.048,3301.0,3362.0,udp,10.10.12.1,5204
99,m1,4360000.0,1040000.0,10.10.15.248,46612,1548782386.0,1548782384.0,13.194,1852.0,1985.0,udp,10.10.12.1,5204
100,m1,4360000.0,1040000.0,10.10.15.248,46612,1548782386.0,1548782384.0,13.194,1852.0,1985.0,udp,10.10.12.1,5204
101,m1,41000000.0,9770000.0,10.10.15.248,43134,1548782391.0,1548782389.0,0.887,275.0,1526.0,udp,10.10.12.1,5204
102,m1,48100000.0,11500000.0,10.10.15.248,43134,1548782393.0,1548782391.0,0.608,57.0,1526.0,udp,10.10.12.1,5204
103,m1,49600000.0,11800000.0,10.10.15.248,43134,1548782395.0,1548782393.0,0.525,12.0,1526.0,udp,10.10.12.1,5204
104,m1,49600000.0,11800000.0,10.10.15.248,43134,1548782397.0,1548782395.0,0.74,13.0,1526.0,udp,10.10.12.1,5204
105,m1,49800000.0,11900000.0,10.10.15.248,43134,1548782399.0,1548782397.0,0.433,10.0,1529.0,udp,10.10.12.1,5204
106,m1,47900000.0,11400000.0,10.10.15.248,43134,1548782401.0,1548782399.0,1.036,4.0,1465.0,udp,10.10.12.1,5204
107,m1,47900000.0,11400000.0,10.10.15.248,43134,1548782403.0,1548782401.0,0.477,0.0,1462.0,udp,10.10.12.1,5204
108,m1,47900000.0,11400000.0,10.10.15.248,43134,1548782405.0,1548782403.0,0.494,0.0,1463.0,udp,10.10.12.1,5204
109,m1,47800000.0,11400000.0,10.10.15.248,43134,1548782407.0,1548782405.0,0.798,3.0,1461.0,udp,10.10.12.1,5204
110,m1,47700000.0,11400000.0,10.10.15.248,43134,1548782409.0,1548782407.0,0.354,2.0,1458.0,udp,10.10.12.1,5204
111,m1,21000000.0,5020000.0,10.10.15.248,43134,1548782411.0,1548782409.0,3.425,593.0,1235.0,udp,10.10.12.1,5204
112,m1,17200000.0,4099999.9999999995,10.10.15.248,43134,1548782413.0,1548782411.0,2.198,1007.0,1532.0,udp,10.10.12.1,5204
113,m1,17900000.0,4260000.0,10.10.15.248,43134,1548782415.0,1548782413.0,4.831,807.0,1352.0,udp,10.10.12.1,5204
114,m1,44400000.0,10600000.0,10.10.15.248,43134,1548782417.0,1548782415.0,0.726,378.0,1734.0,udp,10.10.12.1,5204
115,m1,47900000.0,11400000.0,10.10.15.248,43134,1548782419.0,1548782417.0,0.594,0.0,1463.0,udp,10.10.12.1,5204
116,m1,47900000.0,11400000.0,10.10.15.248,43134,1548782421.0,1548782419.0,0.156,0.0,1462.0,udp,10.10.12.1,5204
117,m1,46600000.0,11100000.0,10.10.15.248,43134,1548782423.0,1548782421.0,1.135,4.0,1425.0,udp,10.10.12.1,5204
118,m1,46400000.0,11100000.0,10.10.15.248,43134,1548782425.0,1548782423.0,1.066,39.0,1456.0,udp,10.10.12.1,5204
119,m1,49300000.0,11800000.0,10.10.15.248,43134,1548782427.0,1548782425.0,1.166,4.0,1510.0,udp,10.10.12.1,5204
120,m1,45900000.0,11000000.0,10.10.15.248,43134,1548782429.0,1548782427.0,1.208,6.0,1408.0,udp,10.10.12.1,5204
121,m1,28300000.0,6750000.0,10.10.15.248,43134,1548782431.0,1548782429.0,2.688,515.0,1379.0,udp,10.10.12.1,5204
122,m1,6950000.0,1660000.0,10.10.15.248,43134,1548782433.0,1548782431.0,11.809,495.0,707.0,udp,10.10.12.1,5204
123,m1,1540000.0,376000.0,10.10.15.248,43134,1548782435.0,1548782433.0,24.186,1209.0,1256.0,udp,10.10.12.1,5204
124,m1,0.0,0.0,10.10.15.248,43134,1548782437.0,1548782435.0,24.186,0.0,0.0,udp,10.10.12.1,5204
