senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548779108,22.79207598825457,22.076596030254546,-5.665963230726365,123.8,0.0,2437,20,84.61538461538461,0.0,1.0,-48.130435,63.328531999999996,2841792
ap1,w2,1548779109,22.79207598825457,22.072411403181654,-5.662490001406441,123.85,0.0,2437,20,84.3191045758806,0.0,1.0,-47.493056,66.297863,3152536
ap1,w2,1548779110,22.78224310964388,22.068226776108766,-5.659016772086518,123.9,0.0,2437,20,84.02282453637659,0.0,1.0,-50.671533000000004,64.519514,2798678
ap1,w2,1548779111,22.7788610953552,22.06546492007053,-5.656171235531372,123.9,0.0,2437,20,85.31455812138182,0.0,1.0,-49.83815,65.535993,3549801
ap1,w2,1548779112,22.7788610953552,22.05989937064826,-5.652698006514987,123.9,0.0,2437,20,86.60629170638704,0.0,1.0,-54.0625,72.184433,3609362
ap1,w2,1548779113,22.76635411357833,22.054333821225995,-5.649224777498602,123.9,0.0,2437,20,86.9968395468872,0.0,1.0,-49.857143,68.600124,481073
ap1,w2,1548779114,22.76635411357833,22.04943780989453,-5.645751548783952,123.9,0.0,2437,20,87.38738738738738,0.0,1.0,-55.629630000000006,68.611769,3134736
ap1,w2,1548779115,22.75514507865457,22.044541798563067,-5.642278320069303,123.9,0.0,2437,20,87.51525857918988,0.0,1.0,-54.123377000000005,69.804589,3315474
ap1,w2,1548779116,22.759531045801157,22.048726417095747,-5.643617396371519,123.9,0.0,2437,20,87.64312977099237,0.0,1.0,-49.358824,72.092078,3767564
ap1,w2,1548779117,22.759531045801157,22.048726417095747,-5.643617396371519,123.9,0.0,2437,20,84.63262754090114,0.0,1.0,-47.841121,62.56159399999999,2327390
ap1,w2,1548779118,22.761262203970613,22.05014919124146,-5.645040164645648,123.9,0.0,2437,20,86.13787865594676,0.0,1.0,-47.610294,68.159439,2930500
ap1,w2,1548779119,23.08677351499751,22.35144188633399,-5.7803705541592105,123.9,0.669,2437,20,83.12737642585552,0.0,1.0,-46.798319,67.105855,2420111
ap1,w2,1548779120,23.702237644503928,22.92055035483779,-6.036971041602027,124.1,0.669,2437,20,82.37514406018312,0.0,1.0,-48.064516,69.057387,2620646
ap1,w2,1548779121,23.702237644503928,24.746421397411282,-5.764301646124194,123.0,1.029,2437,20,81.62291169451073,0.0,1.0,-50.515464,62.209770999999996,1802669
