gpstime,lat,lon,speed,alt,ap1Dist,ap1DeltaX,ap1DeltaY,ap2Dist,ap2DeltaX,ap2DeltaY,ap3Dist,ap3DeltaX,ap3DeltaY,ap4Dist,ap4DeltaX,ap4DeltaY
1548782492,41.17843245,-8.594382667,4.167,117.2,82.60819939507816,82.29738580712922,-7.159870315937982,82.60819939507816,82.29738580712922,-7.159870315937982,136.79948832564796,136.3626019954409,-10.92601693360633,136.79948832564796,136.3626019954409,-10.92601693360633
1548782492,41.17843245,-8.594382667,4.167,117.2,82.60819939507816,82.29738580712922,-7.159870315937982,82.60819939507816,82.29738580712922,-7.159870315937982,136.79948832564796,136.3626019954409,-10.92601693360633,136.79948832564796,136.3626019954409,-10.92601693360633
1548782494,41.178448667,-8.594501017,4.63,117.3,72.62453125926622,72.39238593881738,-5.802632696502862,72.62453125926622,72.39238593881738,-5.802632696502862,126.81898664273756,126.45758874112971,-9.56877931417341,126.81898664273756,126.45758874112971,-9.56877931417341
1548782495,41.17845820000001,-8.594557932999999,4.579,116.8,67.81385026082877,67.62894717517793,-5.0047943971241375,67.81385026082877,67.62894717517793,-5.0047943971241375,122.00971245763228,121.6941421086263,-8.770941014795811,122.00971245763228,121.6941421086263,-8.770941014795811
1548782495,41.17845820000001,-8.594557932999999,4.579,116.8,67.81385026082877,67.62894717517793,-5.0047943971241375,67.81385026082877,67.62894717517793,-5.0047943971241375,122.00971245763228,121.6941421086263,-8.770941014795811,122.00971245763228,121.6941421086263,-8.770941014795811
1548782496,41.178464983000005,-8.594617617,4.579,116.2,62.790797283316,62.6338523071542,-4.437109880011227,62.790797283316,62.6338523071542,-4.437109880011227,116.98691959829955,116.69904164171523,-8.203256497683626,116.98691959829955,116.69904164171523,-8.203256497683626
1548782497,41.178470933,-8.594676632999999,4.63,115.4,57.828962305532094,57.69466562068217,-3.939141053910428,57.828962305532094,57.69466562068217,-3.939141053910428,112.02507747404962,111.75985004394468,-7.705287671583413,112.02507747404962,111.75985004394468,-7.705287671583413
1548782498,41.178475467,-8.5947365,4.681,114.9,52.80436209978258,52.68425888398796,-3.559680469364052,52.80436209978258,52.68425888398796,-3.559680469364052,107.00044561021171,106.74943956477945,-7.3258270870374504,107.00044561021171,106.74943956477945,-7.3258270870374504
1548782499,41.178482017,-8.59479445,4.7330000000000005,114.6,47.92897967105881,47.834289362792255,-3.011496389081376,47.92897967105881,47.834289362792255,-3.011496389081376,102.124553853005,101.89946463700181,-6.777643006755324,102.124553853005,101.89946463700181,-6.777643006755324
1548782500,41.17849095,-8.594852182999999,4.681,114.5,43.06202139336055,43.002480457539306,-2.263873823117118,43.06202139336055,43.002480457539306,-2.263873823117118,97.25471268598825,97.06764835811941,-6.03002044079172,97.25471268598825,97.06764835811941,-6.03002044079172
1548782501,41.178498600000005,-8.594909917,4.7330000000000005,115.3,38.20510009216474,38.17058992545544,-1.6236284505063638,38.20510009216474,38.17058992545544,-1.6236284505063638,92.39304718077533,92.2357515114477,-5.389775068181441,92.39304718077533,92.2357515114477,-5.389775068181441
1548782502,41.1784975,-8.59497365,4.4239999999999995,115.1,32.881421537848155,32.83663545626232,-1.7156898724188656,32.881421537848155,32.83663545626232,-1.7156898724188656,87.07448229044994,86.90179795033157,-5.481836490093879,87.07448229044994,86.90179795033157,-5.481836490093879
1548782503,41.1784989,-8.595031417000001,4.681,114.9,28.047572796627946,28.001987424468446,-1.5985207906855932,28.047572796627946,28.001987424468446,-1.5985207906855932,82.2422638989389,82.0671487629823,-5.364667408360687,82.2422638989389,82.0671487629823,-5.364667408360687
1548782504,41.178506117,-8.59509095,4.784,115.1,23.041008055089375,23.01953713278017,-0.9945142152837179,23.041008055089375,23.01953713278017,-0.9945142152837179,77.23152562957134,77.08469251410733,-4.760660832959184,77.23152562957134,77.08469251410733,-4.760660832959184
1548782505,41.178512717,-8.595144817000001,4.681,115.0,18.51656688565275,18.511288015072658,-0.44214578264405935,18.51656688565275,18.511288015072658,-0.44214578264405935,72.6983151556179,72.5764379485016,-4.208292400319803,72.6983151556179,72.5764379485016,-4.208292400319803
1548782506,41.17851805,-8.595205383,5.042,115.1,13.442386848237392,13.442386191773037,0.0041846091351117505,13.442386848237392,13.442386191773037,0.0041846091351117505,67.61224792846012,67.50753172314579,-3.7619620085408148,67.61224792846012,67.50753172314579,-3.7619620085408148
1548782507,41.178523266999996,-8.595266217,5.042,115.1,8.362681839894835,8.351055707211456,0.4408066721651301,8.362681839894835,8.351055707211456,0.4408066721651301,62.50469711905242,62.41619693227313,-3.3253399455109367,62.50469711905242,62.41619693227313,-3.3253399455109367
1548782508,41.178531416999995,-8.5953263,5.093,115.5,3.507197023152784,3.3225786990440285,1.1228978076682283,3.507197023152784,3.3225786990440285,1.1228978076682283,57.44854047037026,57.38771319674874,-2.6432488100079836,57.44854047037026,57.38771319674874,-2.6432488100079836
1548782509,41.178539967,-8.595382517,4.784,114.9,2.300180334482508,-1.3823432042787671,1.8384657178873527,2.300180334482508,-1.3823432042787671,1.8384657178873527,52.71803043050578,52.682784235880156,-1.9276808997889152,52.71803043050578,52.682784235880156,-1.9276808997889152
1548782511,41.178554083,-8.595497383,4.887,113.2,11.402875551989666,-10.995723076743461,3.0198639483078886,11.402875551989666,-10.995723076743461,3.0198639483078886,43.07585488200649,43.06939271144164,-0.7462826693682547,43.07585488200649,43.06939271144164,-0.7462826693682547
1548782511,41.178554083,-8.595497383,4.887,113.2,11.402875551989666,-10.995723076743461,3.0198639483078886,11.402875551989666,-10.995723076743461,3.0198639483078886,43.07585488200649,43.06939271144164,-0.7462826693682547,43.07585488200649,43.06939271144164,-0.7462826693682547
1548782512,41.178570717,-8.595556483,4.836,112.9,16.541187204287418,-15.94192389352088,4.411998656835727,16.541187204287418,-15.94192389352088,4.411998656835727,38.12865076857068,38.123178164174,0.6458520391600776,38.12865076857068,38.123178164174,0.6458520391600776
