,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
152,1548782497,5240,-102,28164,25758,0,1703,95.0,ap4,78:8a:20:58:25:74
153,1548782499,5240,-102,30165,27643,0,1628,94.20289855072464,ap4,78:8a:20:58:25:74
154,1548782502,5240,-102,32165,29549,0,1551,95.3,ap4,78:8a:20:58:25:74
155,1548782504,5240,-102,34165,31464,0,1486,95.75,ap4,78:8a:20:58:25:74
156,1548782506,5240,-102,36165,33374,0,1415,95.5,ap4,78:8a:20:58:25:74
157,1548782508,5240,-102,38165,35282,0,1361,95.39999999999999,ap4,78:8a:20:58:25:74
158,1548782317,5240,-102,42096,32459,0,1124,95.25,ap4,78:8a:20:58:25:74
159,1548782319,5240,-102,44096,34364,0,1069,95.25,ap4,78:8a:20:58:25:74
160,1548782321,5240,-102,47096,37155,0,1831,93.03333333333333,ap4,78:8a:20:58:25:74
161,1548782323,5240,-102,48096,38113,0,894,95.8,ap4,78:8a:20:58:25:74
162,1548782327,5240,-102,28693,23412,0,1654,75.76663402566614,ap4,78:8a:20:58:25:74
163,1548782330,5240,-102,30694,25322,0,1597,95.45227386306847,ap4,78:8a:20:58:25:74
164,1548782332,5240,-102,32694,27220,0,1468,94.89999999999999,ap4,78:8a:20:58:25:74
165,1548782334,5240,-102,34694,29126,0,1408,95.3,ap4,78:8a:20:58:25:74
166,1548782336,5240,-102,36694,31034,0,1329,95.39999999999999,ap4,78:8a:20:58:25:74
167,1548782338,5240,-102,38694,32935,0,1246,95.05,ap4,78:8a:20:58:25:74
168,1548782340,5240,-102,40694,34831,0,1167,94.8,ap4,78:8a:20:58:25:74
169,1548782342,5240,-102,42694,36716,0,1063,94.25,ap4,78:8a:20:58:25:74
170,1548782344,5240,-102,45694,39538,0,1920,94.06666666666666,ap4,78:8a:20:58:25:74
171,1548782346,5240,-102,47694,41421,0,1819,94.15,ap4,78:8a:20:58:25:74
172,1548782348,5240,-102,48695,42356,0,835,93.4065934065934,ap4,78:8a:20:58:25:74
173,1548782350,5240,-102,27291,23819,0,1632,86.60530741917398,ap4,78:8a:20:58:25:74
174,1548782353,5240,-102,29291,25688,0,1571,93.45,ap4,78:8a:20:58:25:74
175,1548782355,5240,-102,31292,27558,0,1490,93.45327336331835,ap4,78:8a:20:58:25:74
176,1548782357,5240,-102,33292,29449,0,1431,94.55,ap4,78:8a:20:58:25:74
177,1548782359,5240,-102,35292,31341,0,1372,94.6,ap4,78:8a:20:58:25:74
178,1548782361,5240,-102,37292,33155,0,1251,90.7,ap4,78:8a:20:58:25:74
179,1548782363,5240,-102,39292,35042,0,1210,94.35,ap4,78:8a:20:58:25:74
180,1548782365,5240,-102,41292,36939,0,1120,94.85,ap4,78:8a:20:58:25:74
181,1548782367,5240,-102,43292,38505,0,761,78.3,ap4,78:8a:20:58:25:74
182,1548782369,5240,-102,45292,39328,0,201,41.15,ap4,78:8a:20:58:25:74
183,1548782371,5240,-102,48292,39417,0,8,2.966666666666667,ap4,78:8a:20:58:25:74
184,1548782373,5240,-102,25889,19757,0,6,87.7561040932018,ap4,78:8a:20:58:25:74
185,1548782375,5240,-102,27889,19813,0,5,2.8000000000000003,ap4,78:8a:20:58:25:74
186,1548782377,5240,-102,29889,19870,0,5,2.85,ap4,78:8a:20:58:25:74
187,1548782379,5240,-102,31889,19924,0,5,2.7,ap4,78:8a:20:58:25:74
188,1548782382,5240,-102,33889,19981,0,7,2.85,ap4,78:8a:20:58:25:74
189,1548782384,5240,-102,35889,20036,0,4,2.75,ap4,78:8a:20:58:25:74
190,1548782227,5240,-102,30283,24986,0,1392,95.75,ap4,78:8a:20:58:25:74
191,1548782229,5240,-102,32283,26893,0,1332,95.35,ap4,78:8a:20:58:25:74
192,1548782231,5240,-102,34283,28729,0,1242,91.8,ap4,78:8a:20:58:25:74
193,1548782233,5240,-102,36283,30639,0,1163,95.5,ap4,78:8a:20:58:25:74
194,1548782235,5240,-102,38283,32527,0,1081,94.39999999999999,ap4,78:8a:20:58:25:74
195,1548782237,5240,-102,41283,35343,0,1948,93.86666666666666,ap4,78:8a:20:58:25:74
196,1548782239,5240,-102,43283,36780,0,1403,71.85000000000001,ap4,78:8a:20:58:25:74
197,1548782241,5240,-102,45283,38399,0,1472,80.95,ap4,78:8a:20:58:25:74
198,1548782243,5240,-102,47283,40306,0,1706,95.35,ap4,78:8a:20:58:25:74
199,1548782245,5240,-102,48283,41263,0,672,95.7,ap4,78:8a:20:58:25:74
200,1548782248,5240,-102,26880,23246,0,1535,84.1797878802037,ap4,78:8a:20:58:25:74
201,1548782250,5240,-102,28880,25156,0,1467,95.5,ap4,78:8a:20:58:25:74
202,1548782252,5240,-102,30880,27064,0,1368,95.39999999999999,ap4,78:8a:20:58:25:74
203,1548782254,5240,-102,32880,28896,0,1236,91.60000000000001,ap4,78:8a:20:58:25:74
204,1548782256,5240,-102,34880,30805,0,1199,95.45,ap4,78:8a:20:58:25:74
205,1548782258,5240,-102,36881,32714,0,1137,95.40229885057471,ap4,78:8a:20:58:25:74
206,1548782260,5240,-102,38880,34623,0,1051,95.49774887443722,ap4,78:8a:20:58:25:74
207,1548782262,5240,-102,41881,37492,0,1912,95.60146617794068,ap4,78:8a:20:58:25:74
208,1548782264,5240,-102,43881,39327,0,1772,91.75,ap4,78:8a:20:58:25:74
209,1548782266,5240,-102,45881,41239,0,1745,95.6,ap4,78:8a:20:58:25:74
210,1548782268,5240,-102,47881,43151,0,1685,95.6,ap4,78:8a:20:58:25:74
211,1548782271,5240,-102,25478,23040,0,1555,89.76922733562469,ap4,78:8a:20:58:25:74
212,1548782273,5240,-102,27478,24807,0,1369,88.35,ap4,78:8a:20:58:25:74
213,1548782275,5240,-102,28478,25472,0,324,66.5,ap4,78:8a:20:58:25:74
214,1548782277,5240,-102,2095,215,0,4,95.73210021604821,ap4,78:8a:20:58:25:74
215,1548782279,5240,-102,4095,271,0,3,2.8000000000000003,ap4,78:8a:20:58:25:74
216,1548782281,5240,-102,6095,325,0,3,2.7,ap4,78:8a:20:58:25:74
217,1548782283,5240,0,8095,1405,1,1005,54.0,ap4,78:8a:20:58:25:74
218,1548782285,5240,-102,10095,3308,0,1009,95.15,ap4,78:8a:20:58:25:74
219,1548782287,5240,-102,13095,6138,0,1875,94.33333333333334,ap4,78:8a:20:58:25:74
220,1548782289,5240,-102,15095,8051,0,1787,95.65,ap4,78:8a:20:58:25:74
221,1548782291,5240,-102,17095,9923,0,1680,93.60000000000001,ap4,78:8a:20:58:25:74
222,1548782293,5240,-102,19095,11759,0,1566,91.8,ap4,78:8a:20:58:25:74
223,1548782296,5240,-102,21095,13658,0,1516,94.95,ap4,78:8a:20:58:25:74
224,1548782298,5240,-102,23096,15550,0,1455,94.55272363818091,ap4,78:8a:20:58:25:74
225,1548782300,5240,-102,25096,17440,0,1393,94.5,ap4,78:8a:20:58:25:74
226,1548782302,5240,-102,27096,19317,0,1319,93.85,ap4,78:8a:20:58:25:74
227,1548782304,5240,-102,29096,21092,0,1177,88.75,ap4,78:8a:20:58:25:74
228,1548782306,5240,-102,31096,22967,0,1209,93.75,ap4,78:8a:20:58:25:74
229,1548782308,5240,-102,33096,24856,0,1172,94.45,ap4,78:8a:20:58:25:74
230,1548782109,5240,-102,9891,8567,0,1111,95.5,ap4,78:8a:20:58:25:74
231,1548782111,5240,-102,12891,11413,0,1928,94.86666666666666,ap4,78:8a:20:58:25:74
232,1548782113,5240,-102,14891,13322,0,1859,95.45,ap4,78:8a:20:58:25:74
233,1548782115,5240,-102,16891,15234,0,1770,95.6,ap4,78:8a:20:58:25:74
234,1548782117,5240,-102,18891,17147,0,1661,95.65,ap4,78:8a:20:58:25:74
235,1548782120,5240,-102,20891,19061,0,1566,95.7,ap4,78:8a:20:58:25:74
236,1548782122,5240,-102,22891,20968,0,1460,95.35,ap4,78:8a:20:58:25:74
237,1548782124,5240,-102,24892,22879,0,1368,95.50224887556223,ap4,78:8a:20:58:25:74
238,1548782126,5240,-102,26892,24788,0,1256,95.45,ap4,78:8a:20:58:25:74
239,1548782128,5240,-102,28892,26623,0,1106,91.75,ap4,78:8a:20:58:25:74
240,1548782130,5240,-102,30892,28535,0,1041,95.6,ap4,78:8a:20:58:25:74
241,1548782132,5240,-102,33892,31399,0,1875,95.46666666666667,ap4,78:8a:20:58:25:74
242,1548782134,5240,-102,35892,33307,0,1780,95.39999999999999,ap4,78:8a:20:58:25:74
243,1548782136,5240,-102,37892,35217,0,1692,95.5,ap4,78:8a:20:58:25:74
244,1548782139,5240,-102,39892,37126,0,1588,95.45,ap4,78:8a:20:58:25:74
245,1548782141,5240,-102,41892,38968,0,1417,92.10000000000001,ap4,78:8a:20:58:25:74
246,1548782143,5240,-102,43892,40707,0,1205,86.95,ap4,78:8a:20:58:25:74
247,1548782145,5240,-102,45893,41955,0,806,62.368815592203894,ap4,78:8a:20:58:25:74
248,1548782147,5240,-102,47892,43410,0,1081,72.7863931965983,ap4,78:8a:20:58:25:74
249,1548782151,5240,-102,28490,26041,0,1881,89.52169879393877,ap4,78:8a:20:58:25:74
250,1548782153,5240,-102,30489,27951,0,1785,95.54777388694347,ap4,78:8a:20:58:25:74
251,1548782155,5240,-102,32490,29807,0,1633,92.7536231884058,ap4,78:8a:20:58:25:74
252,1548782158,5240,-102,34490,31694,0,1584,94.35,ap4,78:8a:20:58:25:74
253,1548782160,5240,-102,36490,33605,0,1472,95.55,ap4,78:8a:20:58:25:74
254,1548782162,5240,-102,38490,35513,0,1360,95.39999999999999,ap4,78:8a:20:58:25:74
255,1548782164,5240,-102,40490,37425,0,1263,95.6,ap4,78:8a:20:58:25:74
256,1548782166,5240,-102,42490,39341,0,1168,95.8,ap4,78:8a:20:58:25:74
257,1548782168,5240,-102,44490,41173,0,1030,91.60000000000001,ap4,78:8a:20:58:25:74
258,1548782170,5240,-102,47490,44038,0,1908,95.5,ap4,78:8a:20:58:25:74
259,1548782172,5240,-102,48490,44992,0,855,95.39999999999999,ap4,78:8a:20:58:25:74
260,1548782174,5240,-102,27087,24656,0,1189,95.01471756295847,ap4,78:8a:20:58:25:74
261,1548782177,5240,-102,29087,25116,0,215,23.0,ap4,78:8a:20:58:25:74
262,1548782179,5240,-102,31087,25175,0,5,2.9499999999999997,ap4,78:8a:20:58:25:74
263,1548782181,5240,-102,33087,25230,0,4,2.75,ap4,78:8a:20:58:25:74
264,1548782183,5240,-102,35087,25286,0,4,2.8000000000000003,ap4,78:8a:20:58:25:74
265,1548782185,5240,-102,37087,27081,0,1194,89.75,ap4,78:8a:20:58:25:74
266,1548782187,5240,-102,39087,28913,0,1038,91.60000000000001,ap4,78:8a:20:58:25:74
