systime,senderId,receiverId,channelFreq,channelBw,rssiMean,dataRateMean,nBytesReceived
1548779088,ap1,w2,2437,20,-50.881818,69.860246,3043966
1548779089,ap3,w3,2462,20,-100.000000,0.000000,0
1548779089,ap2,m1,5190,40,-57.224732,150.008214,6315765
1548779089,ap4,w1,5230,40,-100.000000,0.000000,0
1548779089,ap1,w2,2437,20,-48.963636,63.225520,2499820
1548779090,ap3,w3,2462,20,-72.250000,38.358024,36881
1548779090,ap2,m1,5190,40,-57.166552,150.002749,6290495
1548779090,ap4,w1,5230,40,-100.000000,0.000000,0
1548779090,ap1,w2,2437,20,-49.056180,58.689289,1836531
1548779091,ap3,w3,2462,20,-72.533333,27.164874,42607
1548779091,ap2,m1,5190,40,-57.149288,150.005512,6275430
1548779091,ap4,w1,5230,40,-100.000000,0.000000,0
1548779091,ap1,w2,2437,20,-50.183333,67.192854,2663296
1548779092,ap3,w3,2462,20,-72.333333,45.250342,117117
1548779092,ap2,m1,5190,40,-57.070675,150.011014,6279610
1548779092,ap4,w1,5230,40,-100.000000,0.000000,0
1548779092,ap1,w2,2437,20,-49.413793,66.309314,1991582
1548779093,ap3,w3,2462,20,-72.153846,45.040404,81685
1548779093,ap2,m1,5190,40,-57.065138,150.008257,6282040
1548779093,ap4,w1,5230,40,-100.000000,0.000000,0
1548779093,ap1,w2,2437,20,-50.093220,66.130702,2500784
1548779094,ap3,w3,2462,20,-72.652174,40.561965,70142
1548779094,ap2,m1,5190,40,-56.900983,150.010976,6301575
1548779094,ap4,w1,5230,40,-100.000000,0.000000,0
1548779094,ap1,w2,2437,20,-49.798246,64.829072,2184354
1548779095,ap3,w3,2462,20,-72.030769,13.837590,93647
1548779095,ap2,m1,5190,40,-56.928772,150.014058,6149180
1548779095,ap4,w1,5230,40,-100.000000,0.000000,0
1548779095,ap1,w2,2437,20,-50.444444,67.699716,2350225
1548779096,ap3,w3,2462,20,-71.711111,24.679653,121524
1548779096,ap2,m1,5190,40,-57.040914,141.712114,6304685
1548779096,ap4,w1,5230,40,-68.570946,26.070101,847012
1548779096,ap1,w2,2437,20,-50.052083,65.425293,2000415
1548779097,ap3,w3,2462,20,-72.565217,29.695672,62324
1548779097,ap2,m1,5190,40,-57.046021,150.016323,6359305
1548779097,ap4,w1,5230,40,-68.637740,24.874874,1422685
1548779097,ap1,w2,2437,20,-50.514851,67.546579,2266888
1548779098,ap3,w3,2462,20,-72.382353,34.313726,47480
1548779098,ap2,m1,5190,40,-56.901703,146.351305,6347255
1548779098,ap4,w1,5230,40,-68.910293,27.116619,1544745
1548779098,ap1,w2,2437,20,-50.147826,66.790104,2341775
1548779099,ap3,w3,2462,20,-72.666667,24.351852,37121
1548779099,ap2,m1,5190,40,-57.024445,149.252716,6365430
1548779099,ap4,w1,5230,40,-71.456140,8.666667,171150
1548779099,ap1,w2,2437,20,-50.126126,66.135990,2485094
1548779100,ap3,w3,2462,20,-72.600000,34.399987,43218
1548779100,ap2,m1,5190,40,-56.972318,150.008236,6298465
1548779100,ap4,w1,5230,40,-72.512397,6.500000,177955
1548779100,ap1,w2,2437,20,-50.829268,68.644721,2747350
1548779101,ap3,w3,2462,20,-71.909091,13.515127,32645
1548779101,ap2,m1,5190,40,-56.964149,147.344307,6393905
1548779101,ap4,w1,5230,40,-71.831579,6.500000,145685
1548779101,ap1,w2,2437,20,-50.697531,69.820172,3345741
1548779102,ap3,w3,2462,20,-71.758621,16.899414,81143
1548779102,ap2,m1,5190,40,-56.817190,149.759209,6337050
1548779102,ap4,w1,5230,40,-72.145833,6.500000,145200
1548779102,ap1,w2,2437,20,-50.404412,69.446634,3078440
1548779103,ap3,w3,2462,20,-71.742424,14.292903,95907
1548779103,ap2,m1,5190,40,-56.861810,145.680464,6529390
