,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
98,m1,36400000.0,8690000.0,10.10.15.248,47988,1548779747.0,1548779745.0,1.67,293.0,1405.0,udp,10.10.12.1,5204
99,m1,5730000.0,1370000.0,10.10.15.248,47988,1548779749.0,1548779747.0,47.674,485.0,660.0,udp,10.10.12.1,5204
100,m1,98200.0,24000.0,10.10.15.248,47988,1548779751.0,1548779749.0,55.753,32.0,35.0,udp,10.10.12.1,5204
101,m1,0.0,0.0,10.10.15.248,47988,1548779753.0,1548779751.0,55.753,0.0,0.0,udp,10.10.12.1,5204
102,m1,0.0,0.0,10.10.15.248,47988,1548779755.0,1548779753.0,55.753,0.0,0.0,udp,10.10.12.1,5204
103,m1,0.0,0.0,10.10.15.248,47988,1548779757.0,1548779755.0,55.753,0.0,0.0,udp,10.10.12.1,5204
104,m1,0.0,0.0,10.10.15.248,47988,1548779759.0,1548779757.0,55.753,0.0,0.0,udp,10.10.12.1,5204
105,m1,0.0,0.0,10.10.15.248,47988,1548779761.0,1548779759.0,55.753,0.0,0.0,udp,10.10.12.1,5204
106,m1,0.0,0.0,10.10.15.248,47988,1548779763.0,1548779761.0,55.753,0.0,0.0,udp,10.10.12.1,5204
107,m1,0.0,0.0,10.10.15.248,47988,1548779765.0,1548779763.0,55.753,0.0,0.0,udp,10.10.12.1,5204
108,m1,0.0,0.0,10.10.15.248,47988,1548779767.0,1548779765.0,55.753,0.0,0.0,udp,10.10.12.1,5204
109,m1,4820000.0,1150000.0,10.10.15.248,47173,1548779769.0,1548779767.0,14.841,0.0,147.0,udp,10.10.12.1,5204
110,m1,4950000.0,1180000.0,10.10.15.248,47173,1548779771.0,1548779769.0,18.388,1695.0,1846.0,udp,10.10.12.1,5204
111,m1,9930000.0,2370000.0,10.10.15.248,47173,1548779773.0,1548779771.0,2.891,1857.0,2160.0,udp,10.10.12.1,5204
112,m1,16600000.000000002,3970000.0,10.10.15.248,47173,1548779775.0,1548779773.0,9.005,701.0,1209.0,udp,10.10.12.1,5204
113,m1,43900000.0,10500000.0,10.10.15.248,47173,1548779777.0,1548779775.0,0.652,918.0,2257.0,udp,10.10.12.1,5204
114,m1,50100000.0,11900000.0,10.10.15.248,47173,1548779779.0,1548779777.0,0.659,0.0,1529.0,udp,10.10.12.1,5204
